Date,Name,Country,State,Legal,Note
2026-02-12,Weiberfastnacht,DE,ALL,false,"Karneval, Fastnacht und Fasching"
2026-02-14,Valentinstag,DE,ALL,false,
2026-02-14,Fastnachtssamstag,DE,ALL,false,"Karneval, Fastnacht und Fasching"
2026-02-15,Fastnachtssonntag,DE,ALL,false,"Karneval, Fastnacht und Fasching"
2026-02-16,Rosenmontag,DE,ALL,false,"Karneval, Fastnacht und Fasching"
2026-02-17,Fastnacht,DE,ALL,false,"Karneval, Fastnacht und Fasching"
2026-02-18,Aschermittwoch,DE,ALL,false,"Karneval, Fastnacht und Fasching"
2026-03-08,Internationaler Frauentag,DE,BE|MV,false,
2026-03-19,Josefstag,DE,BY,false,
2026-03-29,Palmsonntag,DE,ALL,false,
2026-04-02,Gründonnerstag,DE,ALL,false,
2026-04-03,Karfreitag,DE,ALL,true,
2026-04-04,Karsamstag,DE,ALL,false,
2026-04-05,Ostersonntag,DE,BB,false,
2026-04-06,Ostermontag,DE,ALL,true,
2026-04-30,Walpurgisnacht,DE,ALL,false,
2026-05-01,Tag der Arbeit,DE,ALL,true,
2026-05-10,Muttertag,DE,ALL,false,
2026-05-14,Vatertag,DE,ALL,false,
2026-05-14,Christi Himmelfahrt,DE,ALL,true,
2026-05-24,Pfingstsonntag,DE,BB,false,
2026-05-25,Pfingstmontag,DE,ALL,true,
2026-06-04,Fronleichnam,DE,BW|BY|HE|NW|RP|SL,true,
2026-06-17,Aufstand des 17. Juni,DE,ALL,false,
2026-06-24,Johannistag,DE,ALL,false,
2026-06-29,Peter und Paul,DE,ALL,false,
2026-08-08,Augsburger Friedensfest,DE,BY,true,
2026-08-15,Mariä Himmelfahrt,DE,BY|SL,true,
2026-09-20,Weltkindertag,DE,TH,true,
2026-10-03,Tag der Deutschen Einheit,DE,ALL,true,
2026-10-04,Erntedankfest,DE,ALL,false,
2026-10-31,Halloween,DE,ALL,false,
2026-10-31,Reformationstag,DE,BB|HB|HH|MV|NI|SN|ST|SH|TH,true,
2026-11-01,Allerheiligen,DE,BW|BY|NW|RP|SL,true,
2026-11-02,Allerseelen,DE,ALL,false,
2026-11-11,Martinstag,DE,ALL,false,
2026-11-15,Volkstrauertag,DE,ALL,false,
2026-11-18,Buß- und Bettag,DE,SN,true,
